name,coordinates,postcode,Latitude,Longitude
Northmavine Community Development Company (NCDC),"(60.50413033, -1.34409949)",ZE2 9RT,60.50413033,-1.34409949
Oban Communities Trust,"(56.41273087, -5.47087564)",PA34 5NA,56.41273087,-5.47087564
Old Luce Development Trust,"(54.87871752, -4.8104024)",DG8 0PR,54.87871752,-4.8104024
One Dalkeith,"(55.89316503, -3.06989649)",EH22 1AG,55.89316503,-3.06989649
Ore Valley Housing Association,"(56.14559972, -3.26185164)",KY5 0BW,56.14559972,-3.26185164
Out of the Blue Arts and Education Trust,"(55.96459508, -3.17391414)",EH6 8RG,55.96459508,-3.17391414
Papay Development Trust,"(59.34739312, -2.89322046)",KW17 2BU,59.34739312,-2.89322046
Peebles Community Trust,"(55.65110398, -3.18973458)",EH45 8AT,55.65110398,-3.18973458
Penicuik Community Development Trust Ltd,"(55.82487732, -3.22205912)",EH26 8LL,55.82487732,-3.22205912
Pentlands Community Space,"(55.90901879, -3.28386282)",EH14 3EH,55.90901879,-3.28386282
Pinwherry and Pinmore Community Development SCIO,"(55.14425649, -4.83071305)",KA26 0RN,55.14425649,-4.83071305
Point & Sandwick Trust,"(58.20961401, -6.38405579)",HS1 2JF,58.20961401,-6.38405579
Polbeth Community Hub SCIO,"(55.85699438, -3.55612403)",EH55 8SD,55.85699438,-3.55612403
Portpatrick Community Development Trust,"(54.84406739, -5.11495856)",DG9 8JN,54.84406739,-5.11495856
Portree & Braes Community Trust,"(57.41336293, -6.19705354)",IV51 9ER,57.41336293,-6.19705354
Portsoy Community Enterprise,"(57.68357212, -2.68698393)",AB45 2SS,57.68357212,-2.68698393
Possilpark People's Trust,"(55.88456945, -4.25214709)",G22 5LQ,55.88456945,-4.25214709
Preston and Abbey Community Trust,"(55.86210571, -2.41088097)",TD11 3TY,55.86210571,-2.41088097
Princess Royal Sports & Community Trust,"(57.141194, -2.105521)",AB11 6XY,57.141194,-2.105521
Raasay Development Trust,"(57.34816328, -6.06833245)",IV40 8PA,57.34816328,-6.06833245
Rannoch Community Trust Limited,"(56.702057, -4.186277)",PH15 5PZ,56.702057,-4.186277
Renfrew Development Trust,"(55.87899638, -4.38895667)",PA4 8PL,55.87899638,-4.38895667
Renton Community Development Trust,"(55.96828729, -4.58364555)",G82 4LY,55.96828729,-4.58364555
Rogart Development Trust,"(58.00097603, -4.22325302)",IV28 3UD,58.00097603,-4.22325302
Rosemount Development Trust,"(55.87202799, -4.22669167)",G21 2QA,55.87202799,-4.22669167
Rosewell Development Trust,"(55.85067157, -3.13715673)",EH24 9AA,55.85067157,-3.13715673
"Rousay, Egilsay and Wyre Development Trust Ltd","(59.15955975, -2.98463809)",KW17 2PR,59.15955975,-2.98463809
Sanday Development Trust,"(59.25278299, -2.5790655)",KW17 2BN,59.25278299,-2.5790655
Scourie Community Development Company Limited,"(58.35076171, -5.14964558)",IV27 4TE,58.35076171,-5.14964558
Shapinsay Development Trust,"(59.04170129, -2.90233554)",KW17 2DY,59.04170129,-2.90233554
Shieldaig Community Association SCIO,"(57.52303364, -5.65049574)",IV54 8XN,57.52303364,-5.65049574
Skerray Limited,"(58.595355, -3.543176)",,58.595355,-3.543176
Sleat Community Trust,"(57.06226132, -5.90324927)",IV45 8RS,57.06226132,-5.90324927
South Islay Development,"(55.63303841, -6.19167161)",PA42 7BY,55.63303841,-6.19167161
South Kintyre Development Trust,"(55.42365976, -5.60580326)",PA28 6AB,55.42365976,-5.60580326
South Loch Awe-side Community Company,"(56.234007, -5.278848)",,56.234007,-5.278848
South Seeds,"(55.83417249, -4.26607991)",G42 8BG,55.83417249,-4.26607991
South West Mull and Iona Development,"(56.32468277, -6.36329467)",PA66 6BL,56.32468277,-6.36329467
St Andrews Environmental Network Limited,"(56.33705533, -2.83108579)",KY16 9UA,56.33705533,-2.83108579
Staffin Community Trust,"(57.6233679, -6.20088738)",IV51 9JX,57.6233679,-6.20088738
Stanley Development Trust,"(56.48518751, -3.4458077)",PH1 4QX,56.48518751,-3.4458077
Stepps Community Development Trust,"(55.89120978, -4.14765031)",G33 6BL,55.89120978,-4.14765031
Stonehaven Town Partnership,"(56.964370, -2.208250)",AB39 2RA,56.96437,-2.20825
Stoneyburn and Bents Future Vision Group SCIO SC046760,"(55.84935033, -3.62741233)",EH47 8BA,55.84935033,-3.62741233
Storas Uibhist,"(57.16511661, -7.37221638)",HS8 5SS,57.16511661,-7.37221638
